"school","school_id","distance","hospital","school_latitude","school_longitude","hospital_latitude","hospital_id","hospital_longitude","city_school","city_hospital","id"
"St Francis De Sales School","f904eb4f99201fecd9b46a65add15b54ad57f674",1.9706,"Elizabeth Memorial Hospital",-41.337795,174.7747683,-41.3202183,"c7d1140299476b7322739b9687b7c8ad1bc5e8b7",174.7715479,"Wellington","Wellington",321
"St Francis De Sales School","f904eb4f99201fecd9b46a65add15b54ad57f674",2.3291,"Vicki Robinson",-41.337795,174.7747683,-41.3170256,"ab78f8d3ffcf5a248ef2b6bea0c2dc8ac5ff41e6",174.7786216,"Wellington","Wellington",322
"St Francis De Sales School","f904eb4f99201fecd9b46a65add15b54ad57f674",2.35409,"Wakefield Heart Centre",-41.337795,174.7747683,-41.3167504,"928fb2b38b2baf211dd3d206f3bea6f1042385a5",174.7781289,"Wellington","Wellington",323
"Samuel Marsden Collegiate School Whitby","d0af50fe4134ca432bcd68131c667f0ddd552643",NA,NA,-41.115083,174.8941191,NA,NA,NA,"Wellington",NA,324
"St Benedict's School","543caac8264f3db303b732c591738de0f6467022",1.92821,"Wadestown Medical Practice",-41.2499074,174.7909162,-41.2618656,"e7c8aaf28262f9d1f5b6dca062789000b650f0e8",174.7742361,"Wellington","Wellington",325
"St Benedict's School","543caac8264f3db303b732c591738de0f6467022",2.22385,"Bowen Specialist Medical Centre",-41.2499074,174.7909162,-41.2586799,"4a15e1415fcf627790495e01d61c15b4ede1e3b0",174.767064,"Wellington","Wellington",326
"St Benedict's School","543caac8264f3db303b732c591738de0f6467022",2.26086,"Bowen Hospital",-41.2499074,174.7909162,-41.2593806,"72fdb020f17fe61e02a392af6cd31d2b6d581ad0",174.7670391,"Wellington","Wellington",327
"Newlands Intermediate School","e264fea17dfe2538d573b6104ceb861d2147f5c4",1.10499,"Cashmere Hospital",-41.21914,174.8248825,-41.2202089,"bab36c554cec491b68281e3a66ba039ecb662713",174.8117814,"Wellington","Wellington",328
"Newlands Intermediate School","e264fea17dfe2538d573b6104ceb861d2147f5c4",2.32284,"Onslow Medical Centre",-41.21914,174.8248825,-41.2293706,"1c65794dd52d6ef084356092f9d425d709d1ae9b",174.8007202,"Wellington","Wellington",329
"St Bernards School","d9b1fe4274a6cd004b4f0fd4237c5a0ea7947a70",1.00496,"Wellington Specialist Vein Clinic",-41.308547,174.763572,-41.3094761,"b1621507dd4dc37916725bef9f9305ec1b7bc950",174.7755094,"Wellington","Wellington",331
